baslik,oda_sayisi,tarih,m2brut,m2net,bulundugu_kat,kat_sayisi,banyo_sayisi,isitma,balkon,esyali,site_icinde,bina_yasi,ilce,mahalle,fiyat,url
İstanbul House'dan Pruva 34' te 1+1 92m2 Kiralık Daire.,1+1,2022-7-20,92,62,13,17,1,Merkezi (Pay Ölçer),Yok,Hayır,Evet,0,Bakırköy,Sakızağacı Mh.,16.500,https://sahibinden.com/ilan/emlak-konut-kiralik-istanbul-house-dan-pruva-34-te-1-plus1-92m2-kiralik-daire-1019240783/detay
"İSTANBUL MALTEPE,DE DENİZ MANZARALI MOBİLYALI DÜBLEX DAİRE 200M2",3+2,2022-7-20,200,195,8,8,2,Doğalgaz (Kombi),Var,Evet,Hayır,5,Maltepe,Zümrütevler Mh.,26.500,https://sahibinden.com/ilan/emlak-konut-kiralik-istanbul-maltepe%2Cde-deniz-manzarali-mobilyali-dublex-daire-200m2-1039890551/detay
SUADİYEDE BAĞDAT SAHİL ARASINDA ULTRA LÜX FULL MOBİLYALI DAİRE,1+1,2022-7-20,40,40,2,7,1,Merkezi,Yok,Evet,Hayır,16,Kadıköy,Suadiye Mah.,18.000,https://sahibinden.com/ilan/emlak-konut-kiralik-suadiyede-bagdat-sahil-arasinda-ultra-lux-full-mobilyali-daire-391850308/detay
Merkez'de 2+1 yeni binada 100m2 kiralık temiz daire,2+1,2022-7-20,110,100,3,5,1,Doğalgaz (Kombi),Var,Hayır,Hayır,11,Avcılar,Merkez Mah.,6.000,https://sahibinden.com/ilan/emlak-konut-kiralik-merkez-de-2-plus1-yeni-binada-100m2-kiralik-temiz-daire-1039903259/detay
"DERİN'DEN MODA BURNU'NA YAKIN, YENİ (7 YAŞ) BİNADA FULL EŞYALI",2+1,2022-7-20,105,85,,4,1,Doğalgaz (Kombi),Var,Evet,Hayır,5,Kadıköy,Caferağa Mh.,18.000,https://sahibinden.com/ilan/emlak-konut-kiralik-derin-den-moda-burnu-na-yakin-yeni-7-yas-binada-full-esyali-1039899165/detay
ERENKÖY TAŞMEKTEP SOKAK'TA HAVUZLU SİTEDE 3+1 KİRALIK DAİRE,3+1,2022-7-20,145,115,3,14,2,Merkezi,Var,Hayır,Hayır,4,Kadıköy,Erenköy Mh.,25.500,https://sahibinden.com/ilan/emlak-konut-kiralik-erenkoy-tasmektep-sokak-ta-havuzlu-sitede-3-plus1-kiralik-daire-1039897169/detay
"FULL EŞYALI DAİRE,KURTULUŞ CADDESİ PARALELİ,OSMANBEY METRO 10.DK",1+1,2022-7-20,65,60,3,4,1,Doğalgaz (Kombi),Var,Evet,Hayır,26,Şişli,Feriköy Mh.,8.500,https://sahibinden.com/ilan/emlak-konut-kiralik-full-esyali-daire%2Ckurtulus-caddesi-paraleli%2Cosmanbey-metro-10.dk-1039901338/detay
"Nişantaşı,furnished,1or 2 months rental",2+1,2022-7-20,100,80,2,5,1,Doğalgaz (Kombi),Var,Evet,Hayır,31,Şişli,Meşrutiyet Mh.,20.000,https://sahibinden.com/ilan/emlak-konut-kiralik-nisantasi%2Cfurnished%2C1or-2-months-rental-1027094919/detay
Şişli Nişantaşı Ihlamur Yolunda Asansörlü Full Eşyalı 2+1 Daire,2+1,2022-7-20,115,100,3,5,1,Merkezi,Var,Evet,Hayır,31,Şişli,Teşvikiye Mh.,25.000,https://sahibinden.com/ilan/emlak-konut-kiralik-sisli-nisantasi-ihlamur-yolunda-asansorlu-full-esyali-2-plus1-daire-1005289001/detay
"kadiköy,de istanbul 216 kiralık 1+0 شقة للاجار في قاضي كوي",1+1,2022-7-20,52,52,14,23,1,Merkezi (Pay Ölçer),Yok,Hayır,Evet,0,Kadıköy,Dumlupınar Mh.,6.500,https://sahibinden.com/ilan/emlak-konut-kiralik-kadikoy%2Cde-istanbul-216-kiralik-1-plus0-935356176/detay
Şişli Meşrutiyet Mahallesinde Full Mobilyalı Asansörlü 2+1 Daire,2+1,2022-7-20,95,90,2,5,1,Merkezi,Var,Evet,Hayır,31,Şişli,Meşrutiyet Mh.,30.000,https://sahibinden.com/ilan/emlak-konut-kiralik-sisli-mesrutiyet-mahallesinde-full-mobilyali-asansorlu-2-plus1-daire-1017527895/detay
Sarissa'da_Tek Yetkili_MEBRUR'dan_Tam Eşyalı_15 Ağustos Teslim,3+1,2022-7-20,140,103,16,18,2,Yerden Isıtma,Yok,Evet,Evet,5,Ümraniye,Şerifali Mh.,17.000,https://sahibinden.com/ilan/emlak-konut-kiralik-sarissa-da_tek-yetkili_mebrur-dan_tam-esyali_15-agustos-teslim-1039893355/detay
KUMBURGAZ MERKEZDE SEZONLUK KİRALIK 2+1 DAİRE,2+1,2022-7-20,80,70,3,4,1,Doğalgaz (Kombi),Var,Evet,Evet,16,Büyükçekmece,Kumburgaz Mh.,10.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kumburgaz-merkezde-sezonluk-kiralik-2-plus1-daire-1034222619/detay
KUMBURGAZ MERKEZDE SİTE İÇERİSİNDE KİRALIK 2+1 DAİRE,2+1,2022-7-20,120,100,,3,1,Doğalgaz (Kombi),Var,Hayır,Evet,16,Büyükçekmece,Yenimahalle Mah.,5.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kumburgaz-merkezde-site-icerisinde-kiralik-2-plus1-daire-1034307968/detay
PRESTİJ PARK KİRALIK ARAKAT HAVUZ CEPHE 3+1 DAİRE YILLIK PEŞİN,3+1,2022-7-20,174,155,8,15,2,Merkezi (Pay Ölçer),Yok,Belirtilmemiş,Evet,5,Esenyurt,Zafer Mh.,8.500,https://sahibinden.com/ilan/emlak-konut-kiralik-prestij-park-kiralik-arakat-havuz-cephe-3-plus1-daire-yillik-pesin-1039896620/detay
ÇENGELKÖY ORDU CADDESİ 100 M2 3+1 KİRALIK DAİRE BAHÇELİ,3+1,2022-7-20,100,100,,2,1,Doğalgaz (Kombi),Yok,Hayır,Hayır,21,Üsküdar,Çengelköy Mh.,5.000,https://sahibinden.com/ilan/emlak-konut-kiralik-cengelkoy-ordu-caddesi-100-m2-3-plus1-kiralik-daire-bahceli-1039896828/detay
REMLİNE 'DAN YABANCIYA UYGUN 2+1 EŞYALI KİRALIK DAİRE,2+1,2022-7-20,95,85,1,6,1,Doğalgaz (Kombi),Yok,Evet,Hayır,5,Esenyurt,Süleymaniye Mh.,4.700,https://sahibinden.com/ilan/emlak-konut-kiralik-remline-dan-yabanciya-uygun-2-plus1-esyali-kiralik-daire-1039893496/detay
BRK GAYRİMENKUL BURAK AYDIN'DAN KİPTAŞ 2 ETAP A BLOK 2+1 DAİRE..,2+1,2022-7-20,85,75,10,11,1,Doğalgaz (Kombi),Yok,Hayır,Evet,11,Tuzla,Mimar Sinan Mah.,4.700,https://sahibinden.com/ilan/emlak-konut-kiralik-brk-gayrimenkul-burak-aydin-dan-kiptas-2-etap-a-blok-2-plus1-daire-1030561417/detay
SARIGAZİ MAH.DE 130M2 3+1 KİRALIK DAİRE,3+1,2022-7-20,130,120,3,4,2,Doğalgaz (Kombi),Var,Hayır,Hayır,5,Sancaktepe,Sarıgazi Mh.,5.000,https://sahibinden.com/ilan/emlak-konut-kiralik-sarigazi-mah.de-130m2-3-plus1-kiralik-daire-1039895278/detay
KARAR GROUTAN KİRALIK DAİRELER EMPİRE AVCILAR شقق للايجار,2+1,2022-7-20,165,120,15,30,2,Merkezi (Pay Ölçer),Var,Hayır,Evet,0,Avcılar,Üniversite Mh.,16.000,https://sahibinden.com/ilan/emlak-konut-kiralik-karar-groutan-kiralik-daireler-empire-avcilar-1039893535/detay
Kiralık 1+1,1+1,2022-7-20,76,67,8,9,1,Merkezi (Pay Ölçer),Yok,Hayır,Evet,5,Esenyurt,Barbaros Hayrettin Paşa Mh.,4.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kiralik-1-plus1-1039800745/detay
Albatros Sahilde Eşyalı 2+1 kiralık daire,2+1,2022-7-20,80,70,3,4,1,Doğalgaz (Kombi),Var,Evet,Hayır,16,Büyükçekmece,Atatürk Mh.,6.000,https://sahibinden.com/ilan/emlak-konut-kiralik-albatros-sahilde-esyali-2-plus1-kiralik-daire-1039857680/detay
ALYA GAYRİMENKUL'DEN 15TEMMUZ MH 96 M2 2+1 KİRALIK DAİRE,2+1,2022-7-20,96,85,3,5,2,Merkezi (Pay Ölçer),Var,Belirtilmemiş,Hayır,0,Esenler,15 Temmuz Mh.,8.000,https://sahibinden.com/ilan/emlak-konut-kiralik-alya-gayrimenkul-den-15temmuz-mh-96-m2-2-plus1-kiralik-daire-1037392555/detay
